e.emp_id,e.name,e.age,e.job_role,e.salary,e.project,e.join_date,e.department
618,Cheyenne Evans,42,Consultant,117777.23,Project2,1993-02-15,Finance
637,Tamara Lyons,44,Developer,119803.56,Project1,2009-09-13,Finance
642,Michael Barrera,44,Analyst,120475.85,Omega,2005-03-28,Finance
673,Samantha Irwin,44,Manager,143766.58,Project4,2014-08-27,Finance
676,David Lowe,26,Engineer,137112.0,Project5,1999-05-28,Finance
682,David Meyer,41,Engineer,142173.19,Project2,2009-10-15,Finance
685,Jessica Melton,24,Developer,107440.62,Gamma,2007-02-23,Finance
686,Jose Carson,49,Developer,133117.48,Project3,1980-04-11,Finance
689,Shannon Jones,36,Consultant,136107.08,Delta,1973-04-01,Finance
709,Roger Wright,36,Analyst,120529.6,Project5,2000-05-16,Finance
712,Michael Alexander,40,Developer,123845.32,Delta,2004-10-20,Finance
748,Taylor Hall,41,Analyst,108051.68,Delta,1992-03-13,Finance
761,Paul Fox,24,Consultant,107516.24,Omega,2019-12-21,Finance
762,Mr. Andrew Jones DDS,37,Manager,123539.79,Project2,2008-05-13,Finance
763,Jason Melton,36,Consultant,138801.97,Project3,1976-11-13,Finance
774,Kurt Anderson,41,Developer,104297.31,Project5,2017-05-12,Finance
780,Julie Hamilton,28,Engineer,132108.87,Project1,1978-10-05,Finance
781,Robert Coleman,35,Engineer,149758.5,Project1,1975-01-29,Finance
790,Karla Cardenas,31,Analyst,105926.15,Omega,2005-12-25,Finance
807,Joshua Lawrence,25,Developer,143187.97,Gamma,2012-12-13,Finance
809,Joshua Thompson,54,Analyst,104705.91,Delta,2010-12-13,Finance
818,Vanessa Sullivan,35,Manager,126499.75,Delta,2020-04-29,Finance
839,Maria Olson,54,Analyst,140351.35,Gamma,1986-04-08,Finance
842,Steven Leon,50,Engineer,147004.21,Delta,1994-07-15,Finance
860,Karen Wheeler,43,Manager,142824.52,Project3,1989-03-27,Finance
865,Cheryl Martinez,32,Analyst,141988.12,Gamma,2020-07-15,Finance
877,Kimberly Torres,54,Consultant,144409.89,Project6,1972-09-23,Finance
890,Nathan Strickland,26,Consultant,108093.77,Beta,1996-11-02,Finance
892,Janice Perez,57,Consultant,138525.66,Gamma,2013-02-09,Finance
898,Eric Thompson,27,Analyst,126220.27,Project4,2004-03-22,Finance
909,Julia Pearson,32,Engineer,108573.61,Project3,1991-09-03,Finance
930,Elizabeth Moore,32,Developer,128782.29,Delta,2002-07-24,Finance
933,Rachel Moore,33,Engineer,121092.81,Gamma,2002-06-23,Finance
935,Karina Thomas,58,Consultant,119937.08,Project2,1989-02-14,Finance
945,Cindy Clark,52,Engineer,133938.33,Project4,1975-11-15,Finance
950,Kristina Ellison,45,Manager,136651.01,Alpha,2010-06-16,Finance
954,Amy Ortega,47,Manager,149501.9,Project6,1970-09-21,Finance
955,Amanda Bradley,29,Manager,106974.18,Project2,1991-12-29,Finance
966,Bryan Lewis,58,Consultant,104447.18,Project5,1971-02-21,Finance
969,Kevin Fox,31,Engineer,140538.08,Project6,2020-10-14,Finance
976,David Castillo,59,Engineer,105895.57,Omega,1987-10-09,Finance
978,Brian Edwards,28,Consultant,143182.65,Gamma,1977-09-29,Finance
987,Christie Andrade,36,Developer,125833.29,Omega,2001-08-20,Finance
6,Abigail Palmer,26,Engineer,118762.47,Gamma,1990-06-16,Finance
8,Karen Lopez,55,Analyst,114393.23,Omega,1984-01-13,Finance
12,Emily Gilmore,26,Manager,140047.53,Project1,1989-10-17,Finance
18,Robert Roy,54,Manager,125792.07,Alpha,2011-02-10,Finance
20,Isaac Walker,38,Consultant,112534.72,Omega,1988-03-04,Finance
27,Sabrina Thomas,46,Manager,117703.61,Project6,2003-11-25,Finance
40,Nicole Carr,34,Analyst,149250.66,Alpha,1973-11-20,Finance
51,Alan Nunez,47,Analyst,102071.51,Beta,1997-07-27,Finance
54,Samantha Mendez,22,Consultant,126540.96,Omega,2019-04-05,Finance
67,Ronald Cruz DDS,25,Manager,133667.67,Alpha,1983-07-05,Finance
87,Jacqueline Ramirez,56,Consultant,146426.86,Project3,1984-05-01,Finance
101,Calvin Nichols,29,Developer,110937.58,Project4,1980-04-19,Finance
108,Joseph Jones,52,Developer,116598.59,Project5,2019-10-08,Finance
114,Jillian Fitzgerald,60,Consultant,143146.22,Project1,2019-12-20,Finance
119,Andrew Perry,44,Manager,117786.18,Project1,1999-03-22,Finance
126,Courtney Benton,55,Analyst,133776.78,Delta,2019-03-26,Finance
129,Erin Bennett,31,Manager,145488.37,Delta,2014-09-06,Finance
140,Brandon Miller,47,Consultant,121242.6,Project6,2011-08-31,Finance
155,Michelle Padilla,38,Developer,133745.46,Project3,2017-09-10,Finance
168,Melissa Williams,56,Manager,133514.18,Delta,2015-10-03,Finance
194,James Jones,60,Consultant,102735.26,Gamma,2000-08-30,Finance
202,Judy Walker,29,Developer,130884.56,Alpha,1993-02-26,Finance
207,Gina Thomas,53,Analyst,126598.55,Omega,1986-04-27,Finance
216,Katie Myers,50,Manager,135189.66,Gamma,1994-08-19,Finance
218,Robert Martinez,37,Developer,136200.83,Alpha,1998-08-30,Finance
232,Michael Gonzalez,36,Engineer,105935.11,Project4,2021-06-20,Finance
241,Joshua Garrison,25,Analyst,127649.28,Project4,1995-10-06,Finance
244,Miguel Fleming,26,Developer,132394.63,Gamma,1999-09-11,Finance
250,Nicole Chapman,58,Consultant,113859.59,Project1,1976-11-21,Finance
260,David Martinez,43,Developer,136304.22,Project2,1997-11-22,Finance
267,Travis Meadows,39,Consultant,100901.01,Omega,1970-12-31,Finance
289,Shannon Stephens,57,Analyst,120911.35,Delta,2005-10-27,Finance
292,Julie Castro,56,Engineer,141146.91,Project6,1972-09-21,Finance
297,Angela Strickland,47,Analyst,126287.54,Beta,2024-03-28,Finance
299,Jordan Simpson,49,Analyst,145375.62,Alpha,2023-10-24,Finance
308,Lucas Coleman,37,Manager,103403.77,Alpha,2020-05-19,Finance
314,Ronald Jones,46,Consultant,105570.03,Project3,2010-08-29,Finance
315,Lisa Liu,25,Manager,143509.39,Gamma,1995-09-23,Finance
333,Paul Henry,56,Developer,148165.67,Project6,1993-02-13,Finance
334,Dawn Arnold DVM,42,Manager,121555.61,Project6,1993-07-13,Finance
339,Rachel Valdez,25,Consultant,145858.07,Omega,1980-06-02,Finance
350,Michelle Perez,39,Consultant,144371.85,Project3,2012-07-10,Finance
365,Jeremy Johnson,57,Developer,123895.4,Beta,2004-06-23,Finance
367,Linda Joseph,55,Engineer,117337.58,Project4,1982-05-26,Finance
368,Susan Wilson,25,Manager,135155.8,Gamma,1994-01-30,Finance
387,Gabrielle Wilson,58,Developer,138382.72,Project4,1993-11-07,Finance
389,Stacy Poole,36,Developer,107310.78,Beta,2017-07-22,Finance
390,Shari Jennings,46,Analyst,105890.41,Project4,1994-07-01,Finance
402,Barbara Johnson,55,Consultant,143657.09,Omega,1989-07-10,Finance
404,Desiree Ward,58,Developer,137635.48,Alpha,2024-02-23,Finance
410,Laurie Miller,43,Consultant,143387.55,Omega,1979-04-02,Finance
423,Maria Anderson,33,Analyst,116544.68,Gamma,1980-03-24,Finance
431,Michael Miller,31,Manager,118581.58,Project3,1970-04-18,Finance
467,David Walter,48,Developer,105771.47,Project6,1977-05-28,Finance
470,Thomas Keller,24,Consultant,127304.6,Project1,2015-08-05,Finance
475,Adam Graham,36,Analyst,143309.82,Project4,1987-03-21,Finance
486,Julie Harris,50,Manager,120317.08,Delta,2024-02-26,Finance
487,Brittany Daniel,34,Analyst,137174.43,Delta,2005-01-09,Finance
494,John Phillips,29,Consultant,128338.36,Beta,2011-06-20,Finance
500,Philip Duncan,26,Engineer,138431.77,Omega,2013-06-12,Finance
505,Ryan Johnson,43,Consultant,121271.68,Delta,1985-04-11,Finance
517,Anthony Huerta,49,Manager,117620.44,Delta,2016-09-17,Finance
522,Lauren White,38,Developer,106843.33,Project5,2014-03-19,Finance
538,Sarah Clark,44,Consultant,114165.68,Project1,1980-04-12,Finance
540,Jason Pruitt,32,Manager,127241.78,Project2,2001-01-23,Finance
553,Hannah Parks,28,Engineer,107052.59,Omega,1996-07-15,Finance
558,Nathan Craig,46,Manager,106803.53,Alpha,1981-06-19,Finance
559,Carlos Johnston,29,Consultant,145139.78,Project3,1973-11-25,Finance
563,Scott Green,26,Engineer,128751.41,Project5,2012-02-08,Finance
575,Robert Reed,36,Engineer,144158.39,Project6,1988-11-18,Finance
597,Ronald Moore,58,Developer,105415.94,Project6,1970-08-08,Finance
615,Austin Shelton,38,Manager,134801.28,Omega,1974-10-16,Finance
618,Cheyenne Evans,42,Consultant,117777.23,Project2,1993-02-15,Finance
637,Tamara Lyons,44,Developer,119803.56,Project1,2009-09-13,Finance
642,Michael Barrera,44,Analyst,120475.85,Omega,2005-03-28,Finance
673,Samantha Irwin,44,Manager,143766.58,Project4,2014-08-27,Finance
676,David Lowe,26,Engineer,137112.0,Project5,1999-05-28,Finance
682,David Meyer,41,Engineer,142173.19,Project2,2009-10-15,Finance
685,Jessica Melton,24,Developer,107440.62,Gamma,2007-02-23,Finance
686,Jose Carson,49,Developer,133117.48,Project3,1980-04-11,Finance
689,Shannon Jones,36,Consultant,136107.08,Delta,1973-04-01,Finance
709,Roger Wright,36,Analyst,120529.6,Project5,2000-05-16,Finance
712,Michael Alexander,40,Developer,123845.32,Delta,2004-10-20,Finance
748,Taylor Hall,41,Analyst,108051.68,Delta,1992-03-13,Finance
761,Paul Fox,24,Consultant,107516.24,Omega,2019-12-21,Finance
762,Mr. Andrew Jones DDS,37,Manager,123539.79,Project2,2008-05-13,Finance
763,Jason Melton,36,Consultant,138801.97,Project3,1976-11-13,Finance
774,Kurt Anderson,41,Developer,104297.31,Project5,2017-05-12,Finance
780,Julie Hamilton,28,Engineer,132108.87,Project1,1978-10-05,Finance
781,Robert Coleman,35,Engineer,149758.5,Project1,1975-01-29,Finance
790,Karla Cardenas,31,Analyst,105926.15,Omega,2005-12-25,Finance
807,Joshua Lawrence,25,Developer,143187.97,Gamma,2012-12-13,Finance
809,Joshua Thompson,54,Analyst,104705.91,Delta,2010-12-13,Finance
818,Vanessa Sullivan,35,Manager,126499.75,Delta,2020-04-29,Finance
839,Maria Olson,54,Analyst,140351.35,Gamma,1986-04-08,Finance
842,Steven Leon,50,Engineer,147004.21,Delta,1994-07-15,Finance
860,Karen Wheeler,43,Manager,142824.52,Project3,1989-03-27,Finance
865,Cheryl Martinez,32,Analyst,141988.12,Gamma,2020-07-15,Finance
877,Kimberly Torres,54,Consultant,144409.89,Project6,1972-09-23,Finance
890,Nathan Strickland,26,Consultant,108093.77,Beta,1996-11-02,Finance
892,Janice Perez,57,Consultant,138525.66,Gamma,2013-02-09,Finance
898,Eric Thompson,27,Analyst,126220.27,Project4,2004-03-22,Finance
909,Julia Pearson,32,Engineer,108573.61,Project3,1991-09-03,Finance
930,Elizabeth Moore,32,Developer,128782.29,Delta,2002-07-24,Finance
933,Rachel Moore,33,Engineer,121092.81,Gamma,2002-06-23,Finance
935,Karina Thomas,58,Consultant,119937.08,Project2,1989-02-14,Finance
945,Cindy Clark,52,Engineer,133938.33,Project4,1975-11-15,Finance
950,Kristina Ellison,45,Manager,136651.01,Alpha,2010-06-16,Finance
954,Amy Ortega,47,Manager,149501.9,Project6,1970-09-21,Finance
955,Amanda Bradley,29,Manager,106974.18,Project2,1991-12-29,Finance
966,Bryan Lewis,58,Consultant,104447.18,Project5,1971-02-21,Finance
969,Kevin Fox,31,Engineer,140538.08,Project6,2020-10-14,Finance
976,David Castillo,59,Engineer,105895.57,Omega,1987-10-09,Finance
978,Brian Edwards,28,Consultant,143182.65,Gamma,1977-09-29,Finance
987,Christie Andrade,36,Developer,125833.29,Omega,2001-08-20,Finance
3,Tracy Martin,42,Analyst,94998.96,Alpha,1982-04-06,HR
5,Sean Mccarthy,58,Engineer,109255.6,Project3,1992-01-06,HR
19,Robin Vincent,36,Manager,115581.66,Gamma,1981-11-15,HR
30,Cheryl Moore,43,Manager,131831.15,Delta,1995-09-16,HR
38,Jennifer Smith,34,Manager,106576.77,Alpha,1979-11-25,HR
72,Christopher Park,37,Consultant,96838.59,Project5,1984-12-20,HR
83,Allen Lee,36,Engineer,104205.39,Project2,2007-11-17,HR
89,James Bender,46,Developer,132623.69,Project5,1998-02-11,HR
91,Christine Hamilton,28,Consultant,106328.36,Beta,1991-06-04,HR
112,Karen Cooper,26,Developer,140701.74,Beta,1973-03-08,HR
118,Raymond Jones,37,Manager,129531.79,Project3,1973-02-27,HR
144,Hailey Gonzalez,36,Analyst,132214.64,Project5,1973-08-23,HR
146,Tammy Robertson,25,Manager,117787.61,Alpha,2015-06-15,HR
151,Ryan Rivera,51,Manager,95312.42,Project6,1997-11-16,HR
160,Lisa Marks,40,Analyst,100723.31,Delta,2009-06-05,HR
184,Michael Wolf,54,Analyst,123993.18,Project4,2023-08-24,HR
185,Mindy Day,29,Developer,109756.37,Project4,2014-05-10,HR
209,Megan Sparks,36,Consultant,145708.71,Alpha,2019-06-16,HR
210,Richard Franklin,24,Consultant,108576.66,Alpha,1995-08-16,HR
212,James Curtis,22,Manager,102078.27,Project5,2015-02-16,HR
213,Daniel Duncan,51,Developer,123666.48,Omega,2002-04-25,HR
236,David Frey,25,Engineer,147845.54,Delta,2023-05-24,HR
277,Vincent Sanchez,54,Analyst,96949.56,Alpha,1977-03-07,HR
281,April Adams,56,Manager,139716.71,Omega,1972-04-28,HR
298,Thomas Nguyen,28,Developer,148805.24,Project2,2018-12-17,HR
319,Sarah Mack,35,Analyst,116871.98,Project3,1982-04-01,HR
346,Jacqueline Garcia,36,Manager,93891.0,Project6,1994-01-05,HR
349,Maria Johnson,34,Engineer,124231.56,Project4,1974-11-11,HR
352,Jose Richards,35,Consultant,122060.69,Project6,2022-09-25,HR
353,Christine Miller,24,Manager,112301.09,Project1,1976-08-02,HR
355,Jeremy Stanley,22,Manager,93723.1,Alpha,2010-02-20,HR
371,Blake Cochran Jr.,35,Consultant,135767.72,Alpha,1994-03-07,HR
375,Richard Brooks,37,Consultant,148072.22,Gamma,2013-08-25,HR
445,Amy Romero,24,Analyst,94729.18,Delta,1972-07-26,HR
449,Miss Christine Nelson,30,Analyst,132338.06,Gamma,1997-04-28,HR
455,Michael Robbins,29,Engineer,110606.61,Beta,2020-02-13,HR
460,Chris Shelton,38,Developer,124853.22,Project1,1984-05-18,HR
462,Kevin Waters,33,Analyst,101982.57,Project4,2019-03-07,HR
478,Julia Chavez,55,Engineer,117376.65,Delta,2022-06-20,HR
480,Robert Tate,57,Consultant,100588.22,Project2,2024-03-31,HR
484,Sandra Mcmahon,26,Consultant,108220.97,Project6,1987-10-19,HR
502,Dakota Reyes,30,Developer,115660.38,Alpha,2012-04-07,HR
508,Leonard Gray,39,Consultant,110000.43,Beta,2011-11-08,HR
510,Steve Crawford,40,Developer,140939.82,Gamma,2005-01-27,HR
518,Andrea Berry,55,Analyst,117469.59,Project2,2012-02-26,HR
528,Katherine Deleon,37,Manager,135331.37,Gamma,1975-05-04,HR
530,Shannon Vaughan,30,Consultant,93494.6,Project3,1999-02-16,HR
531,Andrea Sparks,38,Consultant,100774.34,Omega,1995-09-14,HR
535,William Randolph,35,Consultant,123101.03,Gamma,1986-03-18,HR
541,Lisa Rush,34,Consultant,110161.11,Project3,2016-09-30,HR
543,Jesse Sparks,31,Engineer,113612.09,Beta,2010-05-10,HR
571,Laura Barry,59,Consultant,138199.51,Gamma,1982-10-31,HR
612,Anthony Berry,40,Engineer,121360.31,Project5,2008-05-06,HR
614,Matthew Alvarado,48,Manager,140925.07,Project3,2011-11-23,HR
621,Jennifer Thomas,32,Consultant,139261.3,Project4,2018-08-16,HR
630,Emily Neal,26,Manager,97765.11,Project5,2010-01-12,HR
632,Michelle Carter,36,Manager,106763.18,Beta,2016-08-25,HR
638,Kimberly Sullivan,24,Consultant,118154.32,Project2,1990-09-26,HR
653,Jacqueline Reeves,50,Developer,118632.47,Alpha,2024-01-19,HR
656,Steven Cole,36,Consultant,148918.83,Project3,1986-05-12,HR
659,Andrea Shaw DDS,31,Analyst,120103.07,Project3,2017-11-05,HR
667,Daniel Knight,33,Manager,112429.58,Alpha,1971-02-18,HR
671,Sherry Rogers,26,Engineer,126462.84,Project5,1996-10-02,HR
674,Kayla Martinez,52,Developer,98882.5,Project4,1990-08-30,HR
675,Meghan Davis,49,Consultant,126845.94,Project5,2022-05-26,HR
690,Steven Friedman,36,Analyst,102476.76,Project4,1983-08-23,HR
716,Angela Cole,46,Engineer,145109.57,Omega,1995-12-07,HR
724,Joshua Lynch,60,Analyst,131195.7,Beta,1994-11-17,HR
726,Michael Sims,39,Consultant,146764.63,Project2,1982-03-20,HR
727,Kayla Hines,26,Manager,134332.83,Project1,2007-10-25,HR
737,Frank Daniels,29,Developer,94146.15,Beta,1977-09-30,HR
746,Robin Webster,54,Manager,144244.79,Project4,2008-05-20,HR
749,Robin Oneill,26,Developer,141749.14,Omega,2016-09-10,HR
758,Bobby Gonzalez,30,Analyst,127791.43,Project5,2015-04-01,HR
764,John Miller,37,Manager,132419.97,Project2,2021-07-19,HR
776,Renee Goodwin,52,Analyst,111932.44,Omega,2007-12-14,HR
778,Kimberly Vang,28,Consultant,119331.96,Project3,2023-09-14,HR
787,Ann Soto,53,Consultant,138537.49,Project6,1995-05-01,HR
793,Charles Steele,57,Manager,125844.25,Project6,1977-01-09,HR
796,Cynthia Meyer,60,Developer,131308.6,Project4,2019-04-06,HR
797,Deborah Myers,51,Engineer,132349.6,Project6,2004-07-02,HR
803,David Owens,47,Analyst,112257.02,Delta,2022-10-06,HR
814,Angela Collier,24,Analyst,113456.23,Delta,1996-07-14,HR
820,John Zavala,35,Engineer,148037.95,Omega,1987-02-01,HR
845,Stephen Rodriguez,50,Consultant,148071.41,Gamma,1999-06-19,HR
846,Christy Lopez,45,Developer,101963.9,Gamma,1982-02-25,HR
886,Brian Torres,44,Developer,119540.83,Project1,1970-03-25,HR
888,Tyler West,23,Manager,123159.86,Project5,2017-07-30,HR
912,Brandi Cook,32,Engineer,137936.17,Project5,2022-02-15,HR
915,Anna Gonzalez,58,Developer,105627.07,Alpha,1987-04-13,HR
932,Beverly Ross,39,Consultant,135024.49,Project6,2020-01-12,HR
947,Ashley Miller,49,Developer,136059.49,Omega,2010-04-03,HR
951,David Black,58,Analyst,148740.69,Alpha,2015-02-18,HR
964,Katherine Washington MD,50,Manager,114607.95,Project3,2023-07-09,HR
975,James Hahn,49,Manager,131335.55,Alpha,2016-11-16,HR
977,Derrick Perez DVM,39,Manager,99839.23,Project6,2021-01-27,HR
979,Robin Russell,34,Manager,115569.27,Project1,2008-04-03,HR
984,Zachary Hensley,56,Developer,107260.09,Project4,2020-10-04,HR
985,Wyatt Vaughan,33,Engineer,99207.82,Omega,1990-01-29,HR
990,Steven Young,34,Manager,112116.52,Project2,1973-02-17,HR
3,Tracy Martin,42,Analyst,94998.96,Alpha,1982-04-06,HR
5,Sean Mccarthy,58,Engineer,109255.6,Project3,1992-01-06,HR
19,Robin Vincent,36,Manager,115581.66,Gamma,1981-11-15,HR
30,Cheryl Moore,43,Manager,131831.15,Delta,1995-09-16,HR
38,Jennifer Smith,34,Manager,106576.77,Alpha,1979-11-25,HR
72,Christopher Park,37,Consultant,96838.59,Project5,1984-12-20,HR
83,Allen Lee,36,Engineer,104205.39,Project2,2007-11-17,HR
89,James Bender,46,Developer,132623.69,Project5,1998-02-11,HR
91,Christine Hamilton,28,Consultant,106328.36,Beta,1991-06-04,HR
112,Karen Cooper,26,Developer,140701.74,Beta,1973-03-08,HR
118,Raymond Jones,37,Manager,129531.79,Project3,1973-02-27,HR
144,Hailey Gonzalez,36,Analyst,132214.64,Project5,1973-08-23,HR
146,Tammy Robertson,25,Manager,117787.61,Alpha,2015-06-15,HR
151,Ryan Rivera,51,Manager,95312.42,Project6,1997-11-16,HR
160,Lisa Marks,40,Analyst,100723.31,Delta,2009-06-05,HR
184,Michael Wolf,54,Analyst,123993.18,Project4,2023-08-24,HR
185,Mindy Day,29,Developer,109756.37,Project4,2014-05-10,HR
209,Megan Sparks,36,Consultant,145708.71,Alpha,2019-06-16,HR
210,Richard Franklin,24,Consultant,108576.66,Alpha,1995-08-16,HR
212,James Curtis,22,Manager,102078.27,Project5,2015-02-16,HR
213,Daniel Duncan,51,Developer,123666.48,Omega,2002-04-25,HR
236,David Frey,25,Engineer,147845.54,Delta,2023-05-24,HR
277,Vincent Sanchez,54,Analyst,96949.56,Alpha,1977-03-07,HR
281,April Adams,56,Manager,139716.71,Omega,1972-04-28,HR
298,Thomas Nguyen,28,Developer,148805.24,Project2,2018-12-17,HR
319,Sarah Mack,35,Analyst,116871.98,Project3,1982-04-01,HR
346,Jacqueline Garcia,36,Manager,93891.0,Project6,1994-01-05,HR
349,Maria Johnson,34,Engineer,124231.56,Project4,1974-11-11,HR
352,Jose Richards,35,Consultant,122060.69,Project6,2022-09-25,HR
353,Christine Miller,24,Manager,112301.09,Project1,1976-08-02,HR
355,Jeremy Stanley,22,Manager,93723.1,Alpha,2010-02-20,HR
371,Blake Cochran Jr.,35,Consultant,135767.72,Alpha,1994-03-07,HR
375,Richard Brooks,37,Consultant,148072.22,Gamma,2013-08-25,HR
445,Amy Romero,24,Analyst,94729.18,Delta,1972-07-26,HR
449,Miss Christine Nelson,30,Analyst,132338.06,Gamma,1997-04-28,HR
455,Michael Robbins,29,Engineer,110606.61,Beta,2020-02-13,HR
460,Chris Shelton,38,Developer,124853.22,Project1,1984-05-18,HR
462,Kevin Waters,33,Analyst,101982.57,Project4,2019-03-07,HR
478,Julia Chavez,55,Engineer,117376.65,Delta,2022-06-20,HR
480,Robert Tate,57,Consultant,100588.22,Project2,2024-03-31,HR
484,Sandra Mcmahon,26,Consultant,108220.97,Project6,1987-10-19,HR
502,Dakota Reyes,30,Developer,115660.38,Alpha,2012-04-07,HR
508,Leonard Gray,39,Consultant,110000.43,Beta,2011-11-08,HR
510,Steve Crawford,40,Developer,140939.82,Gamma,2005-01-27,HR
518,Andrea Berry,55,Analyst,117469.59,Project2,2012-02-26,HR
528,Katherine Deleon,37,Manager,135331.37,Gamma,1975-05-04,HR
530,Shannon Vaughan,30,Consultant,93494.6,Project3,1999-02-16,HR
531,Andrea Sparks,38,Consultant,100774.34,Omega,1995-09-14,HR
535,William Randolph,35,Consultant,123101.03,Gamma,1986-03-18,HR
