employees.emp_id,employees.name,employees.age,employees.job_role,employees.salary,employees.project,employees.join_date,employees.department
147,Allison Quinn,31,Engineer,51978.51,Project6,2019-07-31,HR
184,Michael Wolf,54,Analyst,123993.18,Project4,2023-08-24,HR
209,Megan Sparks,36,Consultant,145708.71,Alpha,2019-06-16,HR
236,David Frey,25,Engineer,147845.54,Delta,2023-05-24,HR
298,Thomas Nguyen,28,Developer,148805.24,Project2,2018-12-17,HR
345,Amy Stokes,43,Engineer,56737.87,Delta,2019-09-05,HR
351,Cassie Marsh,35,Analyst,64379.75,Gamma,2016-12-13,HR
352,Jose Richards,35,Consultant,122060.69,Project6,2022-09-25,HR
393,Paul Peterson,33,Analyst,88506.54,Project6,2024-04-22,HR
406,Louis Hawkins,59,Engineer,71048.88,Project3,2019-09-15,HR
440,Marcus Jackson,25,Developer,87695.33,Project3,2019-04-01,HR
455,Michael Robbins,29,Engineer,110606.61,Beta,2020-02-13,HR
462,Kevin Waters,33,Analyst,101982.57,Project4,2019-03-07,HR
478,Julia Chavez,55,Engineer,117376.65,Delta,2022-06-20,HR
480,Robert Tate,57,Consultant,100588.22,Project2,2024-03-31,HR
541,Lisa Rush,34,Consultant,110161.11,Project3,2016-09-30,HR
593,Lindsey Bentley,25,Developer,43304.33,Project6,2021-04-05,HR
621,Jennifer Thomas,32,Consultant,139261.3,Project4,2018-08-16,HR
632,Michelle Carter,36,Manager,106763.18,Beta,2016-08-25,HR
647,Michael Brown,35,Manager,85265.76,Omega,2017-08-21,HR
653,Jacqueline Reeves,50,Developer,118632.47,Alpha,2024-01-19,HR
659,Andrea Shaw DDS,31,Analyst,120103.07,Project3,2017-11-05,HR
675,Meghan Davis,49,Consultant,126845.94,Project5,2022-05-26,HR
749,Robin Oneill,26,Developer,141749.14,Omega,2016-09-10,HR
756,Andrew Calhoun,44,Consultant,80939.16,Project1,2020-10-03,HR
759,Sabrina Gaines,50,Engineer,67192.82,Project3,2023-07-15,HR
764,John Miller,37,Manager,132419.97,Project2,2021-07-19,HR
778,Kimberly Vang,28,Consultant,119331.96,Project3,2023-09-14,HR
796,Cynthia Meyer,60,Developer,131308.6,Project4,2019-04-06,HR
803,David Owens,47,Analyst,112257.02,Delta,2022-10-06,HR
888,Tyler West,23,Manager,123159.86,Project5,2017-07-30,HR
912,Brandi Cook,32,Engineer,137936.17,Project5,2022-02-15,HR
932,Beverly Ross,39,Consultant,135024.49,Project6,2020-01-12,HR
964,Katherine Washington MD,50,Manager,114607.95,Project3,2023-07-09,HR
975,James Hahn,49,Manager,131335.55,Alpha,2016-11-16,HR
977,Derrick Perez DVM,39,Manager,99839.23,Project6,2021-01-27,HR
984,Zachary Hensley,56,Developer,107260.09,Project4,2020-10-04,HR
95,Dylan Lopez,37,Consultant,71902.75,Project5,2016-03-11,HR
120,Debbie Hernandez,41,Developer,71438.12,Project6,2024-08-27,HR
147,Allison Quinn,31,Engineer,51978.51,Project6,2019-07-31,HR
184,Michael Wolf,54,Analyst,123993.18,Project4,2023-08-24,HR
209,Megan Sparks,36,Consultant,145708.71,Alpha,2019-06-16,HR
236,David Frey,25,Engineer,147845.54,Delta,2023-05-24,HR
298,Thomas Nguyen,28,Developer,148805.24,Project2,2018-12-17,HR
345,Amy Stokes,43,Engineer,56737.87,Delta,2019-09-05,HR
351,Cassie Marsh,35,Analyst,64379.75,Gamma,2016-12-13,HR
352,Jose Richards,35,Consultant,122060.69,Project6,2022-09-25,HR
393,Paul Peterson,33,Analyst,88506.54,Project6,2024-04-22,HR
406,Louis Hawkins,59,Engineer,71048.88,Project3,2019-09-15,HR
440,Marcus Jackson,25,Developer,87695.33,Project3,2019-04-01,HR
455,Michael Robbins,29,Engineer,110606.61,Beta,2020-02-13,HR
462,Kevin Waters,33,Analyst,101982.57,Project4,2019-03-07,HR
478,Julia Chavez,55,Engineer,117376.65,Delta,2022-06-20,HR
480,Robert Tate,57,Consultant,100588.22,Project2,2024-03-31,HR
541,Lisa Rush,34,Consultant,110161.11,Project3,2016-09-30,HR
593,Lindsey Bentley,25,Developer,43304.33,Project6,2021-04-05,HR
621,Jennifer Thomas,32,Consultant,139261.3,Project4,2018-08-16,HR
632,Michelle Carter,36,Manager,106763.18,Beta,2016-08-25,HR
647,Michael Brown,35,Manager,85265.76,Omega,2017-08-21,HR
653,Jacqueline Reeves,50,Developer,118632.47,Alpha,2024-01-19,HR
659,Andrea Shaw DDS,31,Analyst,120103.07,Project3,2017-11-05,HR
675,Meghan Davis,49,Consultant,126845.94,Project5,2022-05-26,HR
749,Robin Oneill,26,Developer,141749.14,Omega,2016-09-10,HR
756,Andrew Calhoun,44,Consultant,80939.16,Project1,2020-10-03,HR
759,Sabrina Gaines,50,Engineer,67192.82,Project3,2023-07-15,HR
764,John Miller,37,Manager,132419.97,Project2,2021-07-19,HR
778,Kimberly Vang,28,Consultant,119331.96,Project3,2023-09-14,HR
796,Cynthia Meyer,60,Developer,131308.6,Project4,2019-04-06,HR
803,David Owens,47,Analyst,112257.02,Delta,2022-10-06,HR
888,Tyler West,23,Manager,123159.86,Project5,2017-07-30,HR
912,Brandi Cook,32,Engineer,137936.17,Project5,2022-02-15,HR
932,Beverly Ross,39,Consultant,135024.49,Project6,2020-01-12,HR
964,Katherine Washington MD,50,Manager,114607.95,Project3,2023-07-09,HR
975,James Hahn,49,Manager,131335.55,Alpha,2016-11-16,HR
977,Derrick Perez DVM,39,Manager,99839.23,Project6,2021-01-27,HR
984,Zachary Hensley,56,Developer,107260.09,Project4,2020-10-04,HR
53,Rhonda Hughes,48,Manager,89353.32,Beta,2022-07-21,IT
116,Amy Johnson,55,Engineer,66932.2,Beta,2023-08-26,IT
137,Christine Johnson,48,Engineer,58333.38,Gamma,2018-02-13,IT
158,Mark Spencer,54,Manager,54410.82,Project4,2017-05-01,IT
180,Ashley Gray,44,Consultant,136780.09,Project2,2017-12-18,IT
182,Benjamin Casey,22,Manager,138579.96,Project5,2017-08-05,IT
195,Samantha Morris,35,Manager,103159.07,Project4,2022-02-21,IT
228,Victoria Brown,38,Developer,51305.92,Omega,2021-08-02,IT
254,Scott Noble,52,Consultant,86516.52,Beta,2019-12-01,IT
302,Barbara Patrick,27,Engineer,93296.86,Beta,2019-12-23,IT
341,David Rodgers,59,Manager,135809.8,Project6,2024-09-10,IT
356,Jack Patterson,37,Analyst,134487.97,Project4,2018-12-09,IT
414,John Reed,43,Manager,48203.52,Project5,2020-10-15,IT
422,Lawrence Lopez,25,Engineer,67186.6,Beta,2024-01-08,IT
424,Adam Anderson,30,Developer,135580.78,Delta,2018-08-01,IT
443,Gregory Wilson,40,Consultant,80863.97,Project5,2021-10-13,IT
453,Aaron Craig,42,Analyst,96817.13,Project6,2018-02-05,IT
459,Michael Williams,53,Engineer,137463.74,Alpha,2020-08-31,IT
466,Sergio Vang,47,Manager,59602.88,Project3,2024-02-15,IT
477,Amber Kennedy,46,Engineer,141965.58,Project4,2024-01-29,IT
497,Bridget Vega,24,Consultant,65460.8,Gamma,2018-02-04,IT
525,Alejandra Schwartz,32,Engineer,74903.35,Omega,2018-06-09,IT
556,Richard Joseph,23,Developer,103422.86,Omega,2018-05-16,IT
622,Kevin Mack,22,Analyst,85814.73,Omega,2023-05-20,IT
649,Linda Perez,31,Analyst,76102.61,Project6,2017-09-27,IT
703,Diane Wilson,22,Manager,85045.72,Project5,2022-05-16,IT
706,Robert Ingram,55,Analyst,121015.16,Project3,2020-01-14,IT
710,Shawn Griffin,34,Analyst,87896.2,Project4,2023-06-16,IT
751,Marcia Flores,22,Manager,140515.95,Project2,2020-03-29,IT
827,Diana Lee,58,Manager,69222.14,Project6,2017-09-03,IT
833,Robert Hall,57,Analyst,119679.26,Project6,2024-03-04,IT
847,Kaylee Munoz,60,Manager,45719.3,Project2,2016-01-22,IT
903,Andrea Lee,46,Consultant,90007.8,Project4,2020-07-15,IT
910,Alexandra Gibson,24,Analyst,84037.98,Delta,2016-04-12,IT
974,Mark Smith,25,Engineer,98348.21,Beta,2018-06-01,IT
53,Rhonda Hughes,48,Manager,89353.32,Beta,2022-07-21,IT
116,Amy Johnson,55,Engineer,66932.2,Beta,2023-08-26,IT
137,Christine Johnson,48,Engineer,58333.38,Gamma,2018-02-13,IT
158,Mark Spencer,54,Manager,54410.82,Project4,2017-05-01,IT
180,Ashley Gray,44,Consultant,136780.09,Project2,2017-12-18,IT
182,Benjamin Casey,22,Manager,138579.96,Project5,2017-08-05,IT
195,Samantha Morris,35,Manager,103159.07,Project4,2022-02-21,IT
228,Victoria Brown,38,Developer,51305.92,Omega,2021-08-02,IT
254,Scott Noble,52,Consultant,86516.52,Beta,2019-12-01,IT
302,Barbara Patrick,27,Engineer,93296.86,Beta,2019-12-23,IT
341,David Rodgers,59,Manager,135809.8,Project6,2024-09-10,IT
356,Jack Patterson,37,Analyst,134487.97,Project4,2018-12-09,IT
414,John Reed,43,Manager,48203.52,Project5,2020-10-15,IT
422,Lawrence Lopez,25,Engineer,67186.6,Beta,2024-01-08,IT
424,Adam Anderson,30,Developer,135580.78,Delta,2018-08-01,IT
443,Gregory Wilson,40,Consultant,80863.97,Project5,2021-10-13,IT
453,Aaron Craig,42,Analyst,96817.13,Project6,2018-02-05,IT
459,Michael Williams,53,Engineer,137463.74,Alpha,2020-08-31,IT
466,Sergio Vang,47,Manager,59602.88,Project3,2024-02-15,IT
477,Amber Kennedy,46,Engineer,141965.58,Project4,2024-01-29,IT
497,Bridget Vega,24,Consultant,65460.8,Gamma,2018-02-04,IT
525,Alejandra Schwartz,32,Engineer,74903.35,Omega,2018-06-09,IT
556,Richard Joseph,23,Developer,103422.86,Omega,2018-05-16,IT
622,Kevin Mack,22,Analyst,85814.73,Omega,2023-05-20,IT
649,Linda Perez,31,Analyst,76102.61,Project6,2017-09-27,IT
703,Diane Wilson,22,Manager,85045.72,Project5,2022-05-16,IT
706,Robert Ingram,55,Analyst,121015.16,Project3,2020-01-14,IT
710,Shawn Griffin,34,Analyst,87896.2,Project4,2023-06-16,IT
751,Marcia Flores,22,Manager,140515.95,Project2,2020-03-29,IT
827,Diana Lee,58,Manager,69222.14,Project6,2017-09-03,IT
833,Robert Hall,57,Analyst,119679.26,Project6,2024-03-04,IT
847,Kaylee Munoz,60,Manager,45719.3,Project2,2016-01-22,IT
903,Andrea Lee,46,Consultant,90007.8,Project4,2020-07-15,IT
910,Alexandra Gibson,24,Analyst,84037.98,Delta,2016-04-12,IT
974,Mark Smith,25,Engineer,98348.21,Beta,2018-06-01,IT
23,Dana Richard,39,Analyst,61564.43,Project5,2021-01-28,Marketing
25,Daisy Gordon,54,Manager,119510.51,Gamma,2023-07-17,Marketing
64,Jillian Acevedo,60,Consultant,135858.31,Project1,2018-09-13,Marketing
97,Dr. John Adams,43,Engineer,85628.03,Project2,2022-03-27,Marketing
115,Tara Lopez,53,Engineer,122348.55,Project4,2016-06-20,Marketing
139,Michael Morris,55,Analyst,68143.78,Project4,2018-10-07,Marketing
152,Daniel Brown,37,Analyst,41622.18,Project2,2020-03-19,Marketing
198,Aaron Cooper,36,Manager,87166.68,Alpha,2019-04-30,Marketing
219,Bonnie Downs,31,Analyst,101366.33,Alpha,2022-10-15,Marketing
225,Antonio Caldwell,57,Consultant,115137.12,Alpha,2018-09-11,Marketing
226,Erin Reyes,47,Consultant,73346.29,Project4,2021-08-05,Marketing
287,Tami Cole,29,Manager,124666.65,Project6,2021-09-17,Marketing
372,Alex Edwards,58,Analyst,128230.92,Project2,2016-05-12,Marketing
458,Daniel Montgomery MD,23,Engineer,147532.06,Project4,2019-05-01,Marketing
503,Stephanie Johnson,29,Engineer,53019.44,Project1,2017-08-04,Marketing
560,Christopher Adams,52,Consultant,105559.49,Beta,2023-09-08,Marketing
570,Becky Martin,53,Consultant,143701.43,Project2,2020-01-23,Marketing
582,Gabriel Buck,53,Developer,149940.76,Project1,2016-05-21,Marketing
591,Karen Chambers,48,Developer,124091.03,Project4,2019-06-19,Marketing
598,Monica Jones,45,Engineer,62935.36,Gamma,2024-04-15,Marketing
624,Malik Hill,37,Engineer,58882.16,Alpha,2016-05-12,Marketing
694,Diane Cervantes,51,Developer,43934.5,Delta,2019-09-21,Marketing
713,Hayden Stone,35,Engineer,125464.68,Project3,2018-09-17,Marketing
825,Daniel Washington,41,Developer,90551.62,Project3,2021-11-01,Marketing
840,Larry Williams,56,Developer,50953.37,Project6,2020-12-29,Marketing
848,Ricky Martinez,48,Analyst,84768.11,Beta,2022-03-03,Marketing
881,Michael Rice,54,Consultant,124198.83,Delta,2017-04-18,Marketing
895,Jerry Hensley,29,Analyst,91436.52,Project5,2016-05-19,Marketing
914,Michael Murphy,42,Developer,71770.16,Omega,2025-01-02,Marketing
917,Douglas Adams,44,Analyst,107044.2,Project1,2024-11-01,Marketing
983,Carolyn Friedman,33,Developer,89596.24,Project2,2022-07-30,Marketing
23,Dana Richard,39,Analyst,61564.43,Project5,2021-01-28,Marketing
25,Daisy Gordon,54,Manager,119510.51,Gamma,2023-07-17,Marketing
64,Jillian Acevedo,60,Consultant,135858.31,Project1,2018-09-13,Marketing
97,Dr. John Adams,43,Engineer,85628.03,Project2,2022-03-27,Marketing
115,Tara Lopez,53,Engineer,122348.55,Project4,2016-06-20,Marketing
139,Michael Morris,55,Analyst,68143.78,Project4,2018-10-07,Marketing
152,Daniel Brown,37,Analyst,41622.18,Project2,2020-03-19,Marketing
198,Aaron Cooper,36,Manager,87166.68,Alpha,2019-04-30,Marketing
219,Bonnie Downs,31,Analyst,101366.33,Alpha,2022-10-15,Marketing
225,Antonio Caldwell,57,Consultant,115137.12,Alpha,2018-09-11,Marketing
226,Erin Reyes,47,Consultant,73346.29,Project4,2021-08-05,Marketing
287,Tami Cole,29,Manager,124666.65,Project6,2021-09-17,Marketing
372,Alex Edwards,58,Analyst,128230.92,Project2,2016-05-12,Marketing
458,Daniel Montgomery MD,23,Engineer,147532.06,Project4,2019-05-01,Marketing
503,Stephanie Johnson,29,Engineer,53019.44,Project1,2017-08-04,Marketing
560,Christopher Adams,52,Consultant,105559.49,Beta,2023-09-08,Marketing
570,Becky Martin,53,Consultant,143701.43,Project2,2020-01-23,Marketing
582,Gabriel Buck,53,Developer,149940.76,Project1,2016-05-21,Marketing
591,Karen Chambers,48,Developer,124091.03,Project4,2019-06-19,Marketing
598,Monica Jones,45,Engineer,62935.36,Gamma,2024-04-15,Marketing
624,Malik Hill,37,Engineer,58882.16,Alpha,2016-05-12,Marketing
694,Diane Cervantes,51,Developer,43934.5,Delta,2019-09-21,Marketing
713,Hayden Stone,35,Engineer,125464.68,Project3,2018-09-17,Marketing
825,Daniel Washington,41,Developer,90551.62,Project3,2021-11-01,Marketing
840,Larry Williams,56,Developer,50953.37,Project6,2020-12-29,Marketing
848,Ricky Martinez,48,Analyst,84768.11,Beta,2022-03-03,Marketing
881,Michael Rice,54,Consultant,124198.83,Delta,2017-04-18,Marketing
895,Jerry Hensley,29,Analyst,91436.52,Project5,2016-05-19,Marketing
914,Michael Murphy,42,Developer,71770.16,Omega,2025-01-02,Marketing
917,Douglas Adams,44,Analyst,107044.2,Project1,2024-11-01,Marketing
983,Carolyn Friedman,33,Developer,89596.24,Project2,2022-07-30,Marketing
2,Danielle Schultz,58,Manager,131863.53,Beta,2019-05-02,Operations
74,Anna Barrett,60,Manager,87083.77,Alpha,2025-01-22,Operations
77,Keith Hensley,52,Analyst,145983.83,Beta,2023-07-30,Operations
109,Anthony Brown,59,Manager,95673.89,Project1,2022-09-08,Operations
111,Matthew Williamson,52,Consultant,72260.58,Project6,2017-01-27,Operations
283,Robert Thompson,30,Consultant,115348.67,Gamma,2021-07-24,Operations
286,Barbara Eaton,37,Manager,133155.26,Gamma,2017-06-19,Operations
336,Omar Underwood,41,Developer,132351.54,Project5,2018-07-23,Operations
388,Shane Smith,23,Analyst,114430.62,Project5,2024-04-05,Operations
398,Ruth Turner,32,Engineer,137735.28,Project4,2024-02-12,Operations
409,Sally Arnold,41,Developer,116083.78,Project4,2018-05-09,Operations
411,Daniel Walker,36,Analyst,129921.06,Delta,2020-09-22,Operations
419,Diana Austin,49,Manager,62516.16,Project1,2023-08-24,Operations
493,Mario Davis,40,Consultant,72743.13,Project1,2021-02-06,Operations
495,Rebecca Johnson,51,Consultant,68575.84,Project4,2017-02-03,Operations
515,Victor Russell,24,Engineer,97675.87,Project3,2019-04-24,Operations
548,Todd Lloyd,22,Manager,72210.21,Project6,2019-07-21,Operations
579,Ronald Garcia,56,Consultant,79258.97,Project6,2020-06-12,Operations
610,Colton Gray,35,Analyst,66433.2,Project5,2023-12-27,Operations
661,Christopher Deleon,55,Consultant,144542.9,Gamma,2024-11-12,Operations
666,Stephanie Hamilton,31,Consultant,98533.18,Project5,2016-12-11,Operations
688,Ruth Jackson,42,Manager,94731.7,Gamma,2024-05-29,Operations
701,Brenda Townsend,47,Engineer,81579.46,Project6,2017-11-04,Operations
702,Terry Patterson,33,Analyst,112251.51,Gamma,2019-11-04,Operations
765,Dr. Richard Jackson,38,Consultant,107375.62,Project3,2021-10-10,Operations
813,Robert Eaton,48,Analyst,55070.72,Project4,2016-02-09,Operations
832,Alexandra Davis,42,Engineer,71526.78,Project2,2021-05-23,Operations
841,Jason Fox,44,Manager,75306.2,Project6,2022-10-29,Operations
866,Janet Meyer DDS,39,Manager,122655.65,Delta,2025-02-15,Operations
894,Renee Andersen,36,Consultant,99499.34,Alpha,2023-02-23,Operations
902,Courtney Bruce,33,Engineer,139207.06,Project3,2021-04-16,Operations
961,David Cisneros,53,Engineer,106448.11,Project2,2021-06-22,Operations
967,Daniel Francis,55,Consultant,135495.91,Project6,2024-10-05,Operations
971,Kimberly Moore,25,Engineer,59992.48,Project1,2017-03-31,Operations
2,Danielle Schultz,58,Manager,131863.53,Beta,2019-05-02,Operations
74,Anna Barrett,60,Manager,87083.77,Alpha,2025-01-22,Operations
77,Keith Hensley,52,Analyst,145983.83,Beta,2023-07-30,Operations
109,Anthony Brown,59,Manager,95673.89,Project1,2022-09-08,Operations
111,Matthew Williamson,52,Consultant,72260.58,Project6,2017-01-27,Operations
283,Robert Thompson,30,Consultant,115348.67,Gamma,2021-07-24,Operations
286,Barbara Eaton,37,Manager,133155.26,Gamma,2017-06-19,Operations
336,Omar Underwood,41,Developer,132351.54,Project5,2018-07-23,Operations
388,Shane Smith,23,Analyst,114430.62,Project5,2024-04-05,Operations
398,Ruth Turner,32,Engineer,137735.28,Project4,2024-02-12,Operations
409,Sally Arnold,41,Developer,116083.78,Project4,2018-05-09,Operations
411,Daniel Walker,36,Analyst,129921.06,Delta,2020-09-22,Operations
419,Diana Austin,49,Manager,62516.16,Project1,2023-08-24,Operations
493,Mario Davis,40,Consultant,72743.13,Project1,2021-02-06,Operations
495,Rebecca Johnson,51,Consultant,68575.84,Project4,2017-02-03,Operations
515,Victor Russell,24,Engineer,97675.87,Project3,2019-04-24,Operations
548,Todd Lloyd,22,Manager,72210.21,Project6,2019-07-21,Operations
579,Ronald Garcia,56,Consultant,79258.97,Project6,2020-06-12,Operations
610,Colton Gray,35,Analyst,66433.2,Project5,2023-12-27,Operations
661,Christopher Deleon,55,Consultant,144542.9,Gamma,2024-11-12,Operations
666,Stephanie Hamilton,31,Consultant,98533.18,Project5,2016-12-11,Operations
688,Ruth Jackson,42,Manager,94731.7,Gamma,2024-05-29,Operations
701,Brenda Townsend,47,Engineer,81579.46,Project6,2017-11-04,Operations
702,Terry Patterson,33,Analyst,112251.51,Gamma,2019-11-04,Operations
765,Dr. Richard Jackson,38,Consultant,107375.62,Project3,2021-10-10,Operations
813,Robert Eaton,48,Analyst,55070.72,Project4,2016-02-09,Operations
832,Alexandra Davis,42,Engineer,71526.78,Project2,2021-05-23,Operations
841,Jason Fox,44,Manager,75306.2,Project6,2022-10-29,Operations
866,Janet Meyer DDS,39,Manager,122655.65,Delta,2025-02-15,Operations
894,Renee Andersen,36,Consultant,99499.34,Alpha,2023-02-23,Operations
902,Courtney Bruce,33,Engineer,139207.06,Project3,2021-04-16,Operations
961,David Cisneros,53,Engineer,106448.11,Project2,2021-06-22,Operations
967,Daniel Francis,55,Consultant,135495.91,Project6,2024-10-05,Operations
971,Kimberly Moore,25,Engineer,59992.48,Project1,2017-03-31,Operations
