e.emp_id,e.name,e.age,e.job_role,e.salary,e.project,e.join_date,e.department,d.location
197,Carrie Smith,53,Developer,63557.37,Beta,2024-02-06,Finance,Chicago
202,Judy Walker,29,Developer,130884.56,Alpha,1993-02-26,Finance,Chicago
207,Gina Thomas,53,Analyst,126598.55,Omega,1986-04-27,Finance,Chicago
208,Ronald Lee,29,Engineer,72293.63,Project3,2021-08-18,Finance,Chicago
216,Katie Myers,50,Manager,135189.66,Gamma,1994-08-19,Finance,Chicago
218,Robert Martinez,37,Developer,136200.83,Alpha,1998-08-30,Finance,Chicago
220,Dale Cox,25,Developer,46620.94,Project2,1973-04-01,Finance,Chicago
232,Michael Gonzalez,36,Engineer,105935.11,Project4,2021-06-20,Finance,Chicago
241,Joshua Garrison,25,Analyst,127649.28,Project4,1995-10-06,Finance,Chicago
244,Miguel Fleming,26,Developer,132394.63,Gamma,1999-09-11,Finance,Chicago
250,Nicole Chapman,58,Consultant,113859.59,Project1,1976-11-21,Finance,Chicago
260,David Martinez,43,Developer,136304.22,Project2,1997-11-22,Finance,Chicago
262,Aaron Miller,60,Manager,56685.43,Omega,1978-03-09,Finance,Chicago
267,Travis Meadows,39,Consultant,100901.01,Omega,1970-12-31,Finance,Chicago
275,Jennifer Lucas,49,Developer,87799.39,Project4,2010-04-24,Finance,Chicago
284,Tanya Ballard,32,Manager,62129.03,Omega,1972-11-14,Finance,Chicago
289,Shannon Stephens,57,Analyst,120911.35,Delta,2005-10-27,Finance,Chicago
292,Julie Castro,56,Engineer,141146.91,Project6,1972-09-21,Finance,Chicago
296,Ms. Megan Warren,58,Developer,52402.09,Project6,1983-05-29,Finance,Chicago
297,Angela Strickland,47,Analyst,126287.54,Beta,2024-03-28,Finance,Chicago
299,Jordan Simpson,49,Analyst,145375.62,Alpha,2023-10-24,Finance,Chicago
308,Lucas Coleman,37,Manager,103403.77,Alpha,2020-05-19,Finance,Chicago
312,Chad Duncan,27,Analyst,63666.75,Project4,2011-04-18,Finance,Chicago
314,Ronald Jones,46,Consultant,105570.03,Project3,2010-08-29,Finance,Chicago
315,Lisa Liu,25,Manager,143509.39,Gamma,1995-09-23,Finance,Chicago
316,Jennifer Hicks,38,Analyst,82912.6,Project4,1998-10-04,Finance,Chicago
322,Michele Ware,57,Developer,56761.27,Project1,2020-06-19,Finance,Chicago
330,Justin Morrow,34,Manager,71881.39,Project1,2014-02-20,Finance,Chicago
333,Paul Henry,56,Developer,148165.67,Project6,1993-02-13,Finance,Chicago
334,Dawn Arnold DVM,42,Manager,121555.61,Project6,1993-07-13,Finance,Chicago
339,Rachel Valdez,25,Consultant,145858.07,Omega,1980-06-02,Finance,Chicago
350,Michelle Perez,39,Consultant,144371.85,Project3,2012-07-10,Finance,Chicago
362,Ashley Callahan,35,Manager,44112.6,Beta,1996-07-08,Finance,Chicago
363,Christopher Jennings PhD,29,Developer,40228.21,Project4,1976-01-21,Finance,Chicago
365,Jeremy Johnson,57,Developer,123895.4,Beta,2004-06-23,Finance,Chicago
367,Linda Joseph,55,Engineer,117337.58,Project4,1982-05-26,Finance,Chicago
368,Susan Wilson,25,Manager,135155.8,Gamma,1994-01-30,Finance,Chicago
370,William Jimenez,44,Analyst,61263.72,Project1,2022-08-24,Finance,Chicago
378,Brian Hernandez,49,Engineer,82720.38,Project1,2002-04-13,Finance,Chicago
382,Ronnie Brown,37,Analyst,60941.08,Project5,2012-01-25,Finance,Chicago
387,Gabrielle Wilson,58,Developer,138382.72,Project4,1993-11-07,Finance,Chicago
389,Stacy Poole,36,Developer,107310.78,Beta,2017-07-22,Finance,Chicago
390,Shari Jennings,46,Analyst,105890.41,Project4,1994-07-01,Finance,Chicago
397,Frances Bell,58,Consultant,67492.07,Project5,1999-11-02,Finance,Chicago
402,Barbara Johnson,55,Consultant,143657.09,Omega,1989-07-10,Finance,Chicago
404,Desiree Ward,58,Developer,137635.48,Alpha,2024-02-23,Finance,Chicago
408,John Brooks,39,Developer,81241.04,Project5,1993-01-25,Finance,Chicago
410,Laurie Miller,43,Consultant,143387.55,Omega,1979-04-02,Finance,Chicago
423,Maria Anderson,33,Analyst,116544.68,Gamma,1980-03-24,Finance,Chicago
427,Brian Lynch,55,Engineer,61228.56,Beta,1973-03-03,Finance,Chicago
431,Michael Miller,31,Manager,118581.58,Project3,1970-04-18,Finance,Chicago
432,Randy Raymond,42,Manager,49411.3,Project1,2005-04-19,Finance,Chicago
442,Ann Chandler,47,Consultant,98375.8,Project5,2008-11-29,Finance,Chicago
447,Christine Dixon,29,Developer,54521.95,Alpha,1990-01-26,Finance,Chicago
465,Alyssa Long,44,Developer,58767.73,Gamma,2017-10-03,Finance,Chicago
467,David Walter,48,Developer,105771.47,Project6,1977-05-28,Finance,Chicago
469,Erin Jenkins,52,Engineer,41555.11,Project2,2008-06-30,Finance,Chicago
470,Thomas Keller,24,Consultant,127304.6,Project1,2015-08-05,Finance,Chicago
471,David Smith,50,Analyst,85620.37,Beta,1976-07-03,Finance,Chicago
475,Adam Graham,36,Analyst,143309.82,Project4,1987-03-21,Finance,Chicago
483,Andrew Garcia,31,Developer,54609.41,Delta,2006-08-28,Finance,Chicago
485,Rachael Rodriguez,53,Engineer,67371.41,Project6,2009-12-01,Finance,Chicago
486,Julie Harris,50,Manager,120317.08,Delta,2024-02-26,Finance,Chicago
487,Brittany Daniel,34,Analyst,137174.43,Delta,2005-01-09,Finance,Chicago
494,John Phillips,29,Consultant,128338.36,Beta,2011-06-20,Finance,Chicago
496,Christopher Cabrera,49,Manager,92994.86,Project6,2001-04-05,Finance,Chicago
500,Philip Duncan,26,Engineer,138431.77,Omega,2013-06-12,Finance,Chicago
505,Ryan Johnson,43,Consultant,121271.68,Delta,1985-04-11,Finance,Chicago
517,Anthony Huerta,49,Manager,117620.44,Delta,2016-09-17,Finance,Chicago
520,Daniel Higgins,55,Consultant,72757.06,Beta,1982-04-07,Finance,Chicago
521,Christopher Reed,23,Consultant,63710.84,Project6,1984-02-05,Finance,Chicago
522,Lauren White,38,Developer,106843.33,Project5,2014-03-19,Finance,Chicago
523,Charles Frederick,51,Consultant,96813.28,Project3,1978-07-09,Finance,Chicago
534,Gene Gonzalez,36,Consultant,51001.57,Beta,2010-07-26,Finance,Chicago
538,Sarah Clark,44,Consultant,114165.68,Project1,1980-04-12,Finance,Chicago
540,Jason Pruitt,32,Manager,127241.78,Project2,2001-01-23,Finance,Chicago
547,Kaitlyn Lawrence,27,Developer,71613.46,Project4,1999-11-06,Finance,Chicago
553,Hannah Parks,28,Engineer,107052.59,Omega,1996-07-15,Finance,Chicago
558,Nathan Craig,46,Manager,106803.53,Alpha,1981-06-19,Finance,Chicago
559,Carlos Johnston,29,Consultant,145139.78,Project3,1973-11-25,Finance,Chicago
563,Scott Green,26,Engineer,128751.41,Project5,2012-02-08,Finance,Chicago
567,Mark Hopkins,22,Manager,53259.72,Gamma,1986-10-21,Finance,Chicago
575,Robert Reed,36,Engineer,144158.39,Project6,1988-11-18,Finance,Chicago
589,Latasha Wallace,29,Engineer,45119.04,Project1,2016-11-26,Finance,Chicago
596,Angela Keith,25,Developer,50801.85,Delta,2011-10-24,Finance,Chicago
597,Ronald Moore,58,Developer,105415.94,Project6,1970-08-08,Finance,Chicago
601,Jennifer Smith,22,Engineer,53221.01,Project5,1989-03-12,Finance,Chicago
608,Benjamin Bautista,36,Consultant,61531.96,Project5,1973-12-22,Finance,Chicago
615,Austin Shelton,38,Manager,134801.28,Omega,1974-10-16,Finance,Chicago
618,Cheyenne Evans,42,Consultant,117777.23,Project2,1993-02-15,Finance,Chicago
637,Tamara Lyons,44,Developer,119803.56,Project1,2009-09-13,Finance,Chicago
642,Michael Barrera,44,Analyst,120475.85,Omega,2005-03-28,Finance,Chicago
646,Michael Hubbard III,29,Manager,93571.55,Alpha,2012-04-29,Finance,Chicago
654,Lydia Brandt,40,Analyst,95306.03,Project6,1992-09-09,Finance,Chicago
658,Heidi Navarro,43,Consultant,88419.72,Project2,2016-03-10,Finance,Chicago
663,Denise Marshall,29,Analyst,42508.01,Project1,1981-04-16,Finance,Chicago
670,Olivia Horton,23,Developer,85175.39,Alpha,1984-11-23,Finance,Chicago
673,Samantha Irwin,44,Manager,143766.58,Project4,2014-08-27,Finance,Chicago
676,David Lowe,26,Engineer,137112.0,Project5,1999-05-28,Finance,Chicago
677,Robert Walker,36,Manager,53421.77,Delta,2005-11-11,Finance,Chicago
682,David Meyer,41,Engineer,142173.19,Project2,2009-10-15,Finance,Chicago
685,Jessica Melton,24,Developer,107440.62,Gamma,2007-02-23,Finance,Chicago
686,Jose Carson,49,Developer,133117.48,Project3,1980-04-11,Finance,Chicago
689,Shannon Jones,36,Consultant,136107.08,Delta,1973-04-01,Finance,Chicago
692,Kayla Fry,48,Developer,73122.89,Beta,1976-12-13,Finance,Chicago
695,Meghan Edwards,34,Analyst,57202.12,Project5,2000-07-09,Finance,Chicago
698,Christopher Castro,56,Developer,46988.31,Project1,1980-11-28,Finance,Chicago
700,Maria Rivera,24,Consultant,84943.3,Project5,2008-07-03,Finance,Chicago
705,Scott Young,23,Developer,81266.07,Project6,1977-01-27,Finance,Chicago
709,Roger Wright,36,Analyst,120529.6,Project5,2000-05-16,Finance,Chicago
712,Michael Alexander,40,Developer,123845.32,Delta,2004-10-20,Finance,Chicago
718,Gregory Smith,56,Analyst,92792.27,Project1,2004-08-24,Finance,Chicago
732,Jason Lee,32,Developer,42940.57,Omega,1995-11-26,Finance,Chicago
734,John Rodriguez,30,Consultant,80654.26,Gamma,2009-07-13,Finance,Chicago
735,Teresa Anderson,36,Consultant,96709.55,Project3,2003-12-28,Finance,Chicago
748,Taylor Hall,41,Analyst,108051.68,Delta,1992-03-13,Finance,Chicago
752,Aimee Johnson,49,Developer,50798.54,Project5,1974-12-28,Finance,Chicago
760,Brian Welch,55,Engineer,99424.68,Project6,1993-01-20,Finance,Chicago
761,Paul Fox,24,Consultant,107516.24,Omega,2019-12-21,Finance,Chicago
762,Mr. Andrew Jones DDS,37,Manager,123539.79,Project2,2008-05-13,Finance,Chicago
763,Jason Melton,36,Consultant,138801.97,Project3,1976-11-13,Finance,Chicago
766,Sabrina Freeman,32,Analyst,58097.58,Omega,1996-03-10,Finance,Chicago
767,John Gould,53,Consultant,86572.04,Project4,2009-07-28,Finance,Chicago
774,Kurt Anderson,41,Developer,104297.31,Project5,2017-05-12,Finance,Chicago
780,Julie Hamilton,28,Engineer,132108.87,Project1,1978-10-05,Finance,Chicago
781,Robert Coleman,35,Engineer,149758.5,Project1,1975-01-29,Finance,Chicago
786,Randy Kidd,41,Manager,94082.44,Omega,2006-06-14,Finance,Chicago
790,Karla Cardenas,31,Analyst,105926.15,Omega,2005-12-25,Finance,Chicago
795,Joshua Jackson,29,Engineer,88258.39,Alpha,2013-05-07,Finance,Chicago
801,Brian Martinez,47,Consultant,69711.48,Delta,2003-07-21,Finance,Chicago
807,Joshua Lawrence,25,Developer,143187.97,Gamma,2012-12-13,Finance,Chicago
809,Joshua Thompson,54,Analyst,104705.91,Delta,2010-12-13,Finance,Chicago
818,Vanessa Sullivan,35,Manager,126499.75,Delta,2020-04-29,Finance,Chicago
824,Anna Johnson,49,Manager,95484.15,Alpha,1986-07-09,Finance,Chicago
836,Destiny Cross,25,Developer,80037.66,Project5,1992-10-13,Finance,Chicago
839,Maria Olson,54,Analyst,140351.35,Gamma,1986-04-08,Finance,Chicago
842,Steven Leon,50,Engineer,147004.21,Delta,1994-07-15,Finance,Chicago
851,Victoria Glass,60,Engineer,52636.01,Gamma,2009-10-22,Finance,Chicago
857,David Ryan,39,Developer,75281.44,Gamma,2014-07-17,Finance,Chicago
860,Karen Wheeler,43,Manager,142824.52,Project3,1989-03-27,Finance,Chicago
864,David Russell,28,Engineer,50298.35,Alpha,1972-07-22,Finance,Chicago
865,Cheryl Martinez,32,Analyst,141988.12,Gamma,2020-07-15,Finance,Chicago
877,Kimberly Torres,54,Consultant,144409.89,Project6,1972-09-23,Finance,Chicago
883,Benjamin Wright,26,Consultant,61702.06,Alpha,1979-08-08,Finance,Chicago
890,Nathan Strickland,26,Consultant,108093.77,Beta,1996-11-02,Finance,Chicago
892,Janice Perez,57,Consultant,138525.66,Gamma,2013-02-09,Finance,Chicago
898,Eric Thompson,27,Analyst,126220.27,Project4,2004-03-22,Finance,Chicago
901,Justin Lewis,22,Manager,69429.53,Project1,2018-04-24,Finance,Chicago
908,Gregory Michael,25,Manager,43016.46,Project3,1989-03-05,Finance,Chicago
909,Julia Pearson,32,Engineer,108573.61,Project3,1991-09-03,Finance,Chicago
913,Joseph Nichols,25,Analyst,95946.02,Project5,1977-06-01,Finance,Chicago
916,Lacey Johnson,38,Engineer,96444.87,Project2,2006-09-11,Finance,Chicago
930,Elizabeth Moore,32,Developer,128782.29,Delta,2002-07-24,Finance,Chicago
933,Rachel Moore,33,Engineer,121092.81,Gamma,2002-06-23,Finance,Chicago
935,Karina Thomas,58,Consultant,119937.08,Project2,1989-02-14,Finance,Chicago
938,Patrick Parker,36,Analyst,95182.24,Delta,2006-02-15,Finance,Chicago
939,Danny Smith,54,Engineer,90794.94,Project6,1976-07-21,Finance,Chicago
940,Gary Lewis,30,Engineer,69509.23,Gamma,1983-05-27,Finance,Chicago
945,Cindy Clark,52,Engineer,133938.33,Project4,1975-11-15,Finance,Chicago
950,Kristina Ellison,45,Manager,136651.01,Alpha,2010-06-16,Finance,Chicago
954,Amy Ortega,47,Manager,149501.9,Project6,1970-09-21,Finance,Chicago
955,Amanda Bradley,29,Manager,106974.18,Project2,1991-12-29,Finance,Chicago
958,Michael Carter,52,Engineer,68223.94,Project3,2010-08-18,Finance,Chicago
966,Bryan Lewis,58,Consultant,104447.18,Project5,1971-02-21,Finance,Chicago
969,Kevin Fox,31,Engineer,140538.08,Project6,2020-10-14,Finance,Chicago
976,David Castillo,59,Engineer,105895.57,Omega,1987-10-09,Finance,Chicago
978,Brian Edwards,28,Consultant,143182.65,Gamma,1977-09-29,Finance,Chicago
982,Michael Jackson,30,Analyst,88248.45,Delta,1971-05-19,Finance,Chicago
986,Ryan Wright,56,Developer,94950.91,Project3,1971-03-11,Finance,Chicago
987,Christie Andrade,36,Developer,125833.29,Omega,2001-08-20,Finance,Chicago
991,Lori Hurst,46,Developer,41720.41,Project1,1995-04-08,Finance,Chicago
992,Erin Evans,41,Engineer,74764.97,Alpha,1975-02-21,Finance,Chicago
995,Gary Cole,29,Manager,51455.19,Project1,2020-08-30,Finance,Chicago
996,Melissa Black,58,Engineer,95350.65,Project1,1998-05-09,Finance,Chicago
1000,Susan Haynes,24,Analyst,55498.74,Project5,1979-04-21,Finance,Chicago
6,Abigail Palmer,26,Engineer,118762.47,Gamma,1990-06-16,Finance,Chicago
8,Karen Lopez,55,Analyst,114393.23,Omega,1984-01-13,Finance,Chicago
12,Emily Gilmore,26,Manager,140047.53,Project1,1989-10-17,Finance,Chicago
18,Robert Roy,54,Manager,125792.07,Alpha,2011-02-10,Finance,Chicago
20,Isaac Walker,38,Consultant,112534.72,Omega,1988-03-04,Finance,Chicago
21,Joseph Pruitt,58,Consultant,67886.46,Delta,1993-04-03,Finance,Chicago
22,Jason Kelly,60,Analyst,98760.13,Project3,1999-05-08,Finance,Chicago
24,Gina Macias,49,Consultant,69897.88,Project6,2005-06-24,Finance,Chicago
27,Sabrina Thomas,46,Manager,117703.61,Project6,2003-11-25,Finance,Chicago
31,David Cameron,54,Developer,54522.13,Project1,2012-07-14,Finance,Chicago
35,Theodore Perkins,24,Developer,82795.81,Project5,1977-03-30,Finance,Chicago
37,Amanda Campbell,57,Analyst,82024.86,Delta,2003-04-09,Finance,Chicago
40,Nicole Carr,34,Analyst,149250.66,Alpha,1973-11-20,Finance,Chicago
41,Jennifer Berry,56,Analyst,52169.3,Project1,2011-09-23,Finance,Chicago
42,Alexander Miller,41,Analyst,93644.07,Project5,1979-04-17,Finance,Chicago
50,Beth Myers,56,Analyst,96572.66,Omega,1996-03-14,Finance,Chicago
51,Alan Nunez,47,Analyst,102071.51,Beta,1997-07-27,Finance,Chicago
54,Samantha Mendez,22,Consultant,126540.96,Omega,2019-04-05,Finance,Chicago
61,William Garrett,56,Analyst,65293.47,Project6,2002-05-13,Finance,Chicago
63,Christopher Chapman,30,Developer,66278.03,Delta,1993-07-30,Finance,Chicago
67,Ronald Cruz DDS,25,Manager,133667.67,Alpha,1983-07-05,Finance,Chicago
87,Jacqueline Ramirez,56,Consultant,146426.86,Project3,1984-05-01,Finance,Chicago
88,Jill Mack,38,Engineer,70912.18,Omega,2021-03-29,Finance,Chicago
101,Calvin Nichols,29,Developer,110937.58,Project4,1980-04-19,Finance,Chicago
104,Kenneth Anderson,58,Consultant,66944.13,Omega,1986-12-13,Finance,Chicago
105,Michaela Murphy,50,Consultant,96464.4,Gamma,1981-04-24,Finance,Chicago
108,Joseph Jones,52,Developer,116598.59,Project5,2019-10-08,Finance,Chicago
114,Jillian Fitzgerald,60,Consultant,143146.22,Project1,2019-12-20,Finance,Chicago
119,Andrew Perry,44,Manager,117786.18,Project1,1999-03-22,Finance,Chicago
121,Scott Williams,59,Consultant,61551.92,Project6,2012-07-05,Finance,Chicago
126,Courtney Benton,55,Analyst,133776.78,Delta,2019-03-26,Finance,Chicago
128,Rachel Harrison,55,Manager,61888.91,Project3,1999-12-18,Finance,Chicago
129,Erin Bennett,31,Manager,145488.37,Delta,2014-09-06,Finance,Chicago
140,Brandon Miller,47,Consultant,121242.6,Project6,2011-08-31,Finance,Chicago
148,Walter Soto,59,Consultant,70193.02,Beta,1990-09-02,Finance,Chicago
154,David Garcia,24,Analyst,42106.25,Project4,2021-06-18,Finance,Chicago
155,Michelle Padilla,38,Developer,133745.46,Project3,2017-09-10,Finance,Chicago
157,Daniel Harris,34,Consultant,80230.7,Gamma,1984-08-22,Finance,Chicago
163,Joshua Mendoza,26,Manager,40542.79,Delta,1992-11-08,Finance,Chicago
164,Dr. Cheryl Fitzpatrick,49,Analyst,98099.97,Project4,1997-10-22,Finance,Chicago
168,Melissa Williams,56,Manager,133514.18,Delta,2015-10-03,Finance,Chicago
172,Robert Joseph,55,Engineer,67396.63,Beta,2006-11-20,Finance,Chicago
173,Erin Mcconnell,38,Engineer,87980.31,Alpha,2009-05-06,Finance,Chicago
176,Stacey Pearson,54,Consultant,66688.77,Gamma,1975-09-28,Finance,Chicago
191,Michelle Rodriguez,28,Developer,89782.55,Gamma,1981-07-30,Finance,Chicago
194,James Jones,60,Consultant,102735.26,Gamma,2000-08-30,Finance,Chicago
197,Carrie Smith,53,Developer,63557.37,Beta,2024-02-06,Finance,Chicago
202,Judy Walker,29,Developer,130884.56,Alpha,1993-02-26,Finance,Chicago
207,Gina Thomas,53,Analyst,126598.55,Omega,1986-04-27,Finance,Chicago
208,Ronald Lee,29,Engineer,72293.63,Project3,2021-08-18,Finance,Chicago
216,Katie Myers,50,Manager,135189.66,Gamma,1994-08-19,Finance,Chicago
218,Robert Martinez,37,Developer,136200.83,Alpha,1998-08-30,Finance,Chicago
220,Dale Cox,25,Developer,46620.94,Project2,1973-04-01,Finance,Chicago
232,Michael Gonzalez,36,Engineer,105935.11,Project4,2021-06-20,Finance,Chicago
241,Joshua Garrison,25,Analyst,127649.28,Project4,1995-10-06,Finance,Chicago
244,Miguel Fleming,26,Developer,132394.63,Gamma,1999-09-11,Finance,Chicago
250,Nicole Chapman,58,Consultant,113859.59,Project1,1976-11-21,Finance,Chicago
260,David Martinez,43,Developer,136304.22,Project2,1997-11-22,Finance,Chicago
262,Aaron Miller,60,Manager,56685.43,Omega,1978-03-09,Finance,Chicago
267,Travis Meadows,39,Consultant,100901.01,Omega,1970-12-31,Finance,Chicago
275,Jennifer Lucas,49,Developer,87799.39,Project4,2010-04-24,Finance,Chicago
284,Tanya Ballard,32,Manager,62129.03,Omega,1972-11-14,Finance,Chicago
289,Shannon Stephens,57,Analyst,120911.35,Delta,2005-10-27,Finance,Chicago
292,Julie Castro,56,Engineer,141146.91,Project6,1972-09-21,Finance,Chicago
296,Ms. Megan Warren,58,Developer,52402.09,Project6,1983-05-29,Finance,Chicago
297,Angela Strickland,47,Analyst,126287.54,Beta,2024-03-28,Finance,Chicago
299,Jordan Simpson,49,Analyst,145375.62,Alpha,2023-10-24,Finance,Chicago
308,Lucas Coleman,37,Manager,103403.77,Alpha,2020-05-19,Finance,Chicago
312,Chad Duncan,27,Analyst,63666.75,Project4,2011-04-18,Finance,Chicago
314,Ronald Jones,46,Consultant,105570.03,Project3,2010-08-29,Finance,Chicago
315,Lisa Liu,25,Manager,143509.39,Gamma,1995-09-23,Finance,Chicago
316,Jennifer Hicks,38,Analyst,82912.6,Project4,1998-10-04,Finance,Chicago
322,Michele Ware,57,Developer,56761.27,Project1,2020-06-19,Finance,Chicago
330,Justin Morrow,34,Manager,71881.39,Project1,2014-02-20,Finance,Chicago
333,Paul Henry,56,Developer,148165.67,Project6,1993-02-13,Finance,Chicago
334,Dawn Arnold DVM,42,Manager,121555.61,Project6,1993-07-13,Finance,Chicago
339,Rachel Valdez,25,Consultant,145858.07,Omega,1980-06-02,Finance,Chicago
350,Michelle Perez,39,Consultant,144371.85,Project3,2012-07-10,Finance,Chicago
362,Ashley Callahan,35,Manager,44112.6,Beta,1996-07-08,Finance,Chicago
363,Christopher Jennings PhD,29,Developer,40228.21,Project4,1976-01-21,Finance,Chicago
365,Jeremy Johnson,57,Developer,123895.4,Beta,2004-06-23,Finance,Chicago
367,Linda Joseph,55,Engineer,117337.58,Project4,1982-05-26,Finance,Chicago
368,Susan Wilson,25,Manager,135155.8,Gamma,1994-01-30,Finance,Chicago
370,William Jimenez,44,Analyst,61263.72,Project1,2022-08-24,Finance,Chicago
378,Brian Hernandez,49,Engineer,82720.38,Project1,2002-04-13,Finance,Chicago
382,Ronnie Brown,37,Analyst,60941.08,Project5,2012-01-25,Finance,Chicago
387,Gabrielle Wilson,58,Developer,138382.72,Project4,1993-11-07,Finance,Chicago
389,Stacy Poole,36,Developer,107310.78,Beta,2017-07-22,Finance,Chicago
390,Shari Jennings,46,Analyst,105890.41,Project4,1994-07-01,Finance,Chicago
397,Frances Bell,58,Consultant,67492.07,Project5,1999-11-02,Finance,Chicago
402,Barbara Johnson,55,Consultant,143657.09,Omega,1989-07-10,Finance,Chicago
404,Desiree Ward,58,Developer,137635.48,Alpha,2024-02-23,Finance,Chicago
408,John Brooks,39,Developer,81241.04,Project5,1993-01-25,Finance,Chicago
410,Laurie Miller,43,Consultant,143387.55,Omega,1979-04-02,Finance,Chicago
423,Maria Anderson,33,Analyst,116544.68,Gamma,1980-03-24,Finance,Chicago
427,Brian Lynch,55,Engineer,61228.56,Beta,1973-03-03,Finance,Chicago
431,Michael Miller,31,Manager,118581.58,Project3,1970-04-18,Finance,Chicago
432,Randy Raymond,42,Manager,49411.3,Project1,2005-04-19,Finance,Chicago
442,Ann Chandler,47,Consultant,98375.8,Project5,2008-11-29,Finance,Chicago
447,Christine Dixon,29,Developer,54521.95,Alpha,1990-01-26,Finance,Chicago
465,Alyssa Long,44,Developer,58767.73,Gamma,2017-10-03,Finance,Chicago
467,David Walter,48,Developer,105771.47,Project6,1977-05-28,Finance,Chicago
469,Erin Jenkins,52,Engineer,41555.11,Project2,2008-06-30,Finance,Chicago
470,Thomas Keller,24,Consultant,127304.6,Project1,2015-08-05,Finance,Chicago
471,David Smith,50,Analyst,85620.37,Beta,1976-07-03,Finance,Chicago
475,Adam Graham,36,Analyst,143309.82,Project4,1987-03-21,Finance,Chicago
483,Andrew Garcia,31,Developer,54609.41,Delta,2006-08-28,Finance,Chicago
485,Rachael Rodriguez,53,Engineer,67371.41,Project6,2009-12-01,Finance,Chicago
486,Julie Harris,50,Manager,120317.08,Delta,2024-02-26,Finance,Chicago
